,Cafe_link-href,Adress_clean,lat,lon
30,https://moskvichmag.ru/restorany-i-bary/luchshaya-eda-letom-v-moskve-ogromnyj-salat/,"г Москва, б-р Покровский, д 16-18 стр 4-4а",55.753179,37.646435
31,https://moskvichmag.ru/restorany-i-bary/myasnaya-kulinariya-musya-i-vtoroe-na-nikitskom-rasschitana-na-ubezhdennyh-holostyakov/,"г Москва, б-р Никитский, д 25",55.7569773,37.5981172
34,https://moskvichmag.ru/restorany-i-bary/hleb-za-530-rublej-da-esli-eto-hleb-s-chernym-chesnokom-ot-pekarni-pechorin/,"г Москва, ул Новочерёмушкинская, д 17",55.6837397,37.5821155
35,https://moskvichmag.ru/restorany-i-bary/narnia-okazalas-restoranom-dlya-selfi-devushek-ne-umeyushhih-est-bez-svoih-komnatnyh-sobachek/,"г Москва, ул Большая Бронная, д 2/6",55.7600684,37.5975227
36,https://moskvichmag.ru/restorany-i-bary/omela-sofi-meladze-na-ostozhenke-dorogo-vkusno-i-osnovatelno/,"г Москва, пер Пожарский, д 3",55.7403038,37.6043846
37,https://moskvichmag.ru/restorany-i-bary/kollektiv-narkomfin-bolshe-pohozh-na-mnogoetazhnyj-nochnoj-klub-chem-na-restoran/,"г Москва, б-р Новинский, д 25-27 стр 12",55.757111,37.583086
38,https://moskvichmag.ru/restorany-i-bary/blagodarya-wontoneria-teper-na-chistyh-prudah-mozhno-pochuvstvovat-sebya-kak-v-shanhae/,"г Москва, б-р Чистопрудный, д 12 стр 6",55.7616178,37.6420767
40,https://moskvichmag.ru/restorany-i-bary/v-kafe-kulek-na-bolshoj-nikitskoj-gotovyat-evropejskij-fastfud-v-vide-lepeshek-s-nachinkami/,"г Москва, ул Большая Никитская, д 23/14, кв 9",55.7571128,37.5994078
41,https://moskvichmag.ru/restorany-i-bary/za-smesyu-frantsuzskogo-s-aziatskim-v-podvalnom-bistro-rouge-mozhno-provesti-tselyj-den/,"г Москва, ул Большая Никитская, д 14/7 стр 2",55.7570643,37.6062847
43,https://moskvichmag.ru/restorany-i-bary/novyj-restoran-moro-teleportiruet-vas-s-kamergerskogo-pereulka-na-sredizemnoe-more/,"г Москва, пер Камергерский, д 6/5 стр 3",55.759927,37.614132
44,https://moskvichmag.ru/restorany-i-bary/cutta-cutta-kogda-chuvstvuesh-sebya-na-patriarshih-kak-na-piknike-v-pole/,"г Москва, пер Козихинский Б., д 10",55.7628924,37.597491
45,https://moskvichmag.ru/restorany-i-bary/kak-korabl-nazovesh-na-verande-vtorogo-she-na-beloj-ploshhadi-opyat-odni-shes/,"г Москва, ул Бутырский Вал, д 10",55.7784483,37.5858454
46,https://moskvichmag.ru/restorany-i-bary/modniki-pomeshany-na-zastoe-zapivayut-kotlety-s-pyure-koktejlyami-fartsovshhik-i-manekenshhitsa/,"г Москва, ул Маросейка, д 9/2 стр 1",55.7577639,37.6340877
47,https://moskvichmag.ru/restorany-i-bary/v-bageatteria-hochetsya-kupit-vse-i-grechnevyj-hleb-i-desertnyj-baget-i-briosh-i-keksy/,"г Москва, ул Лесная, д 20 стр 3",55.7801994,37.5929871
48,https://moskvichmag.ru/restorany-i-bary/v-mamie-na-b-nikitskoj-mnogo-sveta-prostranstva-bezzabotnosti-i-velikolepnyj-antrekot/,"г Москва, ул Большая Никитская, д 14/2",55.7570643,37.6062847
50,https://moskvichmag.ru/restorany-i-bary/meksikanskij-stritfud-shapulines-na-usachevskom-tak-populyaren-i-horosh-chto-sobiraet-ocheredi/,"г Москва, пер Усачёвский",55.7271354,37.5672254
51,https://moskvichmag.ru/restorany-i-bary/moskovskij-falafel-sezona-ishhite-v-menyu-letnej-kafeshki-na-patriarshih/,"г Москва, пер Спиридоньевский, д 9 стр 1",55.7624439,37.5941675
52,https://moskvichmag.ru/restorany-i-bary/otelnyj-restoran-motsart-goditsya-dlya-tajnyh-svidanij-tam-vas-ne-najdet-nikto/,"г Москва, пер Вознесенский, д 7",55.7579669,37.6041497
53,https://moskvichmag.ru/restorany-i-bary/persiana-redkij-restoran-s-blizhnevostochnoj-kuhnej-v-moskve-v-kotorom-raduyut-tseny/,"г Москва, ул Пятницкая, д 26",55.7410295,37.6283067
54,https://moskvichmag.ru/restorany-i-bary/kurinaya-liga-ocherednaya-popytka-zapustit-kuritsu-v-narod/,"г Москва, ул Новослободская, д 36/1 стр 1",55.7842415,37.5971492
55,https://moskvichmag.ru/restorany-i-bary/bar-tabi-na-solyanke-gostinaya-dlya-teh-kto-ishhet-chego-to-bolee-originalnogo/,"г Москва, ул Солянка, д 1/2 стр 1",55.7538589,37.637931
56,https://moskvichmag.ru/restorany-i-bary/v-izrailskom-bistro-beseder-ne-progadaesh-s-kebabom-iz-yagnenka-i-morozhenym-s-olivkovym-maslom/,"г Москва, пер Малый Патриарший, д 5 стр 1",55.7633491,37.5912377
57,https://moskvichmag.ru/restorany-i-bary/zabudte-na-den-o-dietah-i-seshte-gril-chiz-so-shpinatom-v-junkle-na-tsentralnom-rynke/,"г Москва, б-р Рождественский, д 1",55.7668089,37.6242515
58,https://moskvichmag.ru/restorany-i-bary/na-kryshe-lila-arabic-na-sretenke-horosho-sidet-vse-leto-s-meze-tabule-i-shashlykami/,"г Москва, ул Сретенка, д 22/1 стр 1",55.7694292,37.6326177
59,https://moskvichmag.ru/restorany-i-bary/pashtel-de-nata-v-kofejne-noba-vpolne-povod-zaehat-na-usachevskij-rynok-spetsialno/,"г Москва, ул Усачёва, д 26",55.727506,37.567707
60,https://moskvichmag.ru/restorany-i-bary/pivnaya-repetitsiya-razvlekaet-studentov-stendapami-i-kormit-plohoj-edoj/,"г Москва, ул Новослободская, д 18",55.7823102,37.5994064
61,https://moskvichmag.ru/restorany-i-bary/introvert-ne-vyderzhal-prevratilsya-v-herennow-i-kormit-prilichnym-anglijskim-zavtrakom/,"г Москва, ул Мясницкая, д 41 стр 3",55.7684225,37.6426459
62,https://moskvichmag.ru/restorany-i-bary/biznes-lanch-eto-skuchno-vmesto-nih-jojo-bar-podaet-yaponskie-kompleksnye-menyu-v-bento-boksah/,"г Москва, ул Сретенка, д 36",55.7714183,37.6330643
63,https://moskvichmag.ru/restorany-i-bary/v-chajnoj-komnate-na-pyatnitskoj-tri-v-odnom-chajnye-tseremonii-koktejli-i-dimsamy-s-gedza/,"г Москва, ул Пятницкая, д 6/1",55.7444543,37.6274069
64,https://moskvichmag.ru/restorany-i-bary/v-po-horoshemu-burzhuaznom-trinity-cocktail-club-na-myasnitskoj-kormyat-smelym-naborom-tapas/,"г Москва, ул Мясницкая, д 14/2 стр 1",55.760753,37.6320666
65,https://moskvichmag.ru/restorany-i-bary/v-restorane-lapot-na-b-dmitrovke-vse-nastolko-russkoe-chto-hochetsya-nachat-s-ryumki-vodki/,"г Москва, ул Дмитровка Б., д 11",55.7619457,37.6137678
66,https://moskvichmag.ru/restorany-i-bary/iz-ryumochnoj-falstart-nelzya-uhodit-bez-gulyasha-myasnoj-konfety-i-shkvarok/,"г Москва, пер Большой Путинковский, д 5",55.7671435,37.6076883
67,https://moskvichmag.ru/restorany-i-bary/katsu-s-govyadinoj-i-pohmelnye-supy-novoe-menyu-mandys-apothecary-poluchilos-aziatskim/,"г Москва, ул Кузнецкий Мост, д 19 стр 1",55.7625355,37.6257657
68,https://moskvichmag.ru/restorany-i-bary/kofejnya-aprel-idealno-podhodit-dlya-dlinnogo-utra-s-knigoj-i-beskonechnym-kofe/,"г Москва, ул 4-я Тверская-Ямская, д 6/12",55.7724995,37.5975786
69,https://moskvichmag.ru/restorany-i-bary/novyj-shef-manuele-antonio-kroche-horoshij-povod-zajti-na-rizotto-so-smorchkami-v-seven/,"г Москва, пер Дмитровский, д 7",55.7622593,37.6161308
70,https://moskvichmag.ru/restorany-i-bary/uspehu-interesnogo-midsummer-s-avtorskoj-kuhnej-mozhet-pomeshat-tolko-ne-ochen-udachnyj-adres/,"г Москва, проезд Мясницкий, д 2/1",55.7684211,37.6462367
71,https://moskvichmag.ru/restorany-i-bary/bar-kult-turizm-hochet-chtoby-vy-pochuvstvovali-sebya-puteshestvennikom-ostavayas-doma/,"г Москва, ул Новослободская, д 16А",55.782182,37.599911
72,https://moskvichmag.ru/restorany-i-bary/v-grande-na-ostozhenke-mnogo-vkusnyh-desertov-spasayut-bezglyutenovye-vafli-i-pankejki/,"г Москва, ул Остоженка, д 7 стр 1",55.7430168,37.6009101
73,https://moskvichmag.ru/restorany-i-bary/v-bare-kosmohomyak-podayut-koktejli-s-nazvaniyami-planet-posle-kotoryh-mozhno-i-ne-uzhinat/,"г Москва, ул Дмитровка Б., д 32 стр 2",55.7654901,37.6115184
74,https://moskvichmag.ru/restorany-i-bary/v-skazochnoj-peshhere-s-sokrovishhami-na-neglinnoj-loomi-imeet-smysl-zakazat-lyulya-kebab-iz-krevetok/,"г Москва, ул Неглинная, д 8/10",55.7614578,37.6205839
76,https://moskvichmag.ru/restorany-i-bary/esli-vam-vdrug-zahotelos-doshiraka-s-chernoj-ikroj-za-1800-rub-dobro-pozhalovat-v-uni/,"г Москва, ул Большая Бронная, д 22",55.7626489,37.6005387
77,https://moskvichmag.ru/restorany-i-bary/za-vanilnym-shu-v-jinju-stoit-priezzhat-s-drugogo-kontsa-moskvy/,"г Москва, пер 4-й Кожевнический, д 4",55.7250854,37.6491429
78,https://moskvichmag.ru/restorany-i-bary/izobilie-sladkogo-v-konditorii-rombaba-paralizuet-volyu-lyubogo/,"г Москва, ул Архитектора Щусева, д 3",55.6988153,37.636185
80,https://moskvichmag.ru/restorany-i-bary/pashalnyj-nabor-fermy-raznuzdannye-skotiny-predlagaet-otmetit-pashu-pastrami-i-mortadelloj/,"г Москва, пер Авиационный",55.8000656,37.5389666
81,https://moskvichmag.ru/restorany-i-bary/tsvety-lavandy-uluchshayut-vkus-hot-sharlotki-hot-tsyplenka-glavnoe-ne-pereborshhit/,"г Москва, пр-кт Кутузовский, д 1",55.7497936,37.5707433
82,https://moskvichmag.ru/restorany-i-bary/russian-wine-barshop-ne-rasteryal-pri-pereezde-na-balchug-reputatsiyu-propagandista-nashego-vina/,"г Москва, ул Балчуг, д 3/2",55.7476975,37.6258899
83,https://moskvichmag.ru/restorany-i-bary/bistro-rebecca-na-frunzenskoj-kak-budto-otkryli-predstaviteli-evrejskoj-obshhiny-v-parizhe/,"г Москва, Щаповское п, п Щапово, ул Садовый Квартал, д 10 к 1",55.4195347,37.4029272
84,https://moskvichmag.ru/restorany-i-bary/v-sempre-privychnye-koktejli-dopolneny-russkimi-nastojkami-i-dazhe-sovetskimi-multfilmami/,"г Москва, ул Дмитровка Б., д 22 стр 1",55.7634655,37.6131942
85,https://moskvichmag.ru/restorany-i-bary/v-lampopo-po-studencheski-deshevye-koktejli-na-pive-i-zakuski-ne-dlya-slabonervnyh/,"г Москва, ул Большая Лубянка, д 23/22",55.763393,37.6290106
86,https://moskvichmag.ru/restorany-i-bary/v-bare-leda-kosmicheskaya-tema-v-interere-i-eda-pod-tantsy-v-menyu/,"г Москва, пер Большой Харитоньевский, д 21 стр 3",55.7665841,37.6503775
87,https://moskvichmag.ru/restorany-i-bary/v-magazin-kosher-gurme-stoit-spetsialno-zaehat-za-sloenym-izrailskim-lavashem/,"г Москва, ул Новосущёвская, д 15",55.7909099,37.6035734
88,https://moskvichmag.ru/restorany-i-bary/v-novom-oz-kebab-na-chistyh-prudah-uvesistye-portsii-na-tarelke-i-sytye-schastlivye-lyudi-vokrug/,"г Москва, пер Кривоколенный, д 9 стр 3",55.7627733,37.6379324
90,https://moskvichmag.ru/restorany-i-bary/v-obnovlennom-menyu-lambic-seafood-ishhite-salat-s-ohlazhdennym-tuntsom-etakij-russkij-nisuaz/,"г Москва, пер Гнездниковский М., д 12",55.7626214,37.6066361
91,https://moskvichmag.ru/restorany-i-bary/v-perezapushhennom-restorane-ges-2-zdorovaya-italyanskaya-eda-v-intererah-doma-kultury/,"г Москва, наб Болотная, д 15",55.7426245,37.6118556
92,https://moskvichmag.ru/restorany-i-bary/vkradchivoe-osveshhenie-svezhie-lilii-i-petuh-v-vine-shanuar-dellosa-idealen-dlya-svidanij/,"г Москва, б-р Тверской, д 26",55.7633423,37.6045892
93,https://moskvichmag.ru/restorany-i-bary/novyj-restoran-gino-v-tsvetnom-prednaznachen-dlya-utomlennyh-shopingom/,"г Москва, б-р Цветной, д 15 стр 1",55.7711641,37.6202241
94,https://moskvichmag.ru/restorany-i-bary/restoran-jane-umudrilsya-dazhe-borshh-i-pelmeni-sdelat-elitarnymi/,"г Москва, пер Спиридоньевский, д 9 стр 1",55.7624439,37.5941675
95,https://moskvichmag.ru/restorany-i-bary/set-chajnyh-nftea-beret-bolshimi-obemami-i-svezhim-podhodom-k-privychnym-napitkam/,"г Москва, ул Тверская, д 19",55.7650561,37.6035414
96,https://moskvichmag.ru/restorany-i-bary/036-kebab-umudryaetsya-sovmeshhat-v-sebe-stil-kebabnoj-v-berlinskom-stile-i-estetskij-fler/,"г Москва, пер Большой Трёхсвятительский, д 2/1 стр 8",55.7548238,37.6429536
97,https://moskvichmag.ru/restorany-i-bary/bar-20-ponravitsya-lyudyam-za-40-kotorye-nostalgiruyut-po-nachalu-veka/,"г Москва, ул Бакунинская, д 72 стр 2",55.7777221,37.6915458
98,https://moskvichmag.ru/restorany-i-bary/scro-pizza-poshla-v-narod-kachestvennaya-pitstsa-otvoevyvaet-pozitsii-u-shaurmy/,"г Москва, ул Новослободская, д 20",55.7823336,37.5986888
99,https://moskvichmag.ru/restorany-i-bary/v-aurora-na-trehgorke-dobrotnaya-prostaya-eda-s-redkimi-dlya-moskvy-priyatnymi-syurprizami/,"г Москва, ул Рочдельская, д 15 стр 25",55.7552557,37.5615199
100,https://moskvichmag.ru/restorany-i-bary/v-ryumochnoj-prolive-vsegda-novyj-god-olive-seld-pod-shuboj-i-buterbrody-so-shprotami/,"г Москва, б-р Никитский, д 12",55.7553212,37.6005218
101,https://moskvichmag.ru/restorany-i-bary/v-fudmoll-sokolniki-stoit-zajti-v-pervuyu-ochered-radi-kornerov-s-tajskoj-i-indijskoj-edoj/,"г Москва, ул Русаковская, д 31",55.7885133,37.6786356
102,https://moskvichmag.ru/restorany-i-bary/za-anglijskim-nazvaniem-late-checkout-bar-skryvaetsya-lyubopytnaya-versiya-russkoj-kuhni/,"г Москва, пер Спиридоньевский, д 9 стр 1",55.7624439,37.5941675
103,https://moskvichmag.ru/restorany-i-bary/menyu-flagmanskih-mestnyh-na-rochdelskoj-krepko-sbito-iz-moskovskih-chempionov-prodazh/,"г Москва, ул Рочдельская, д 15 стр 35",55.7566265,37.5625501
104,https://moskvichmag.ru/restorany-i-bary/plastikovyj-boks-luchshe-plyusy-i-minusy-dostavki-supov-iz-restoranov-rocky-2-i-regent/,"г Москва, ул Дмитровка Б., д 10 стр 4",55.7612538,37.6149716
105,https://moskvichmag.ru/restorany-i-bary/ponchiki-s-chaem-v-brutalnom-minimalizme-mmoma-bread-to-chto-nuzhno-utomlennym-iskusstvom/,"г Москва, пер Ермолаевский, д 17 стр 1",55.7655872,37.5921431
107,https://moskvichmag.ru/restorany-i-bary/sup-tlv-penitsillin-s-matsa-bolami-i-frikadelkami-iz-bara-david-lechit-provereno/,"г Москва, б-р Никитский, д 25",55.7569773,37.5981172
108,https://moskvichmag.ru/restorany-i-bary/tazhiny-babaganush-i-humus-turetskaya-lira-arkadiya-novikova-posvyashhena-ne-muze-a-meze/,"г Москва, ул Новый Арбат, д 36",55.7537191,37.577079
109,https://moskvichmag.ru/restorany-i-bary/claudia-na-leningradskom-prospekte-restorany-v-novyh-zhk-stali-ne-huzhe-staryh-v-tsentre/,"г Москва, пр-кт Ленинградский, д 37/5",55.793864,37.541001
110,https://moskvichmag.ru/restorany-i-bary/cmorrebrody-i-dich-bistro-solna-v-otele-mys-prodolzhaet-skandinavskie-traditsii-na-chistyh/,"г Москва, пер Кривоколенный, д 10 стр 4",55.7611998,37.6358996
111,https://moskvichmag.ru/restorany-i-bary/v-luwo-sup-iz-tomatov-i-granata-s-chereshnej-i-syrom-syuzma-prevrashhaet-letnij-den-v-prazdnik/,"г Москва, ул Большая Никитская, д 15",55.756731,37.6036109
112,https://moskvichmag.ru/restorany-i-bary/v-manul-patriotichno-i-zadorogo-gotovyat-delikatesy-vostochnoj-sibiri-vrode-kedrovoj-kashi/,"г Москва, ул Охотный Ряд, д 2",55.7571308,37.6171584
113,https://moskvichmag.ru/restorany-i-bary/v-rockets-soncept-store-bulochka-s-koritsej-spasaet-utro-na-suetlivom-tverskom-bulvare/,"г Москва, б-р Тверской, д 3",55.7583165,37.5980393
114,https://moskvichmag.ru/restorany-i-bary/v-tuna-bar-na-novinskom-spasitelno-pahnet-morem/,"г Москва, б-р Новинский, д 7",55.7516947,37.5826847
115,https://moskvichmag.ru/restorany-i-bary/v-wu-shu-fioletovye-dimsamy-i-vontony-s-anyutinymi-glazkami-vyzyvayut-ponyatnyj-azhiotazh/,"г Москва, пл Трубная, д 23 стр 2",55.7671275,37.6223433
116,https://moskvichmag.ru/restorany-i-bary/v-bistro-47-yavno-est-trizhdy-v-den-intelligentnaya-publika-kotoraya-ne-gotovit-doma-nikogda/,"г Москва, б-р Яузский, д 14/8",55.7510021,37.6434485
117,https://moskvichmag.ru/restorany-i-bary/v-restorane-abrau-dyurso-okroshka-s-rapanom-pasta-s-rapanom-i-dazhe-falafel-iz-rapana/,"г Москва, пер Усачёвский, д 26",55.7271354,37.5672254
118,https://moskvichmag.ru/restorany-i-bary/leto-v-moskve-eto-holodnye-supy-s-ryboj-v-dr-zhivago-chto-mozhet-byt-bolee-russkoe/,"г Москва, ул Моховая, д 15 стр 1",55.7565818,37.6137064
121,https://moskvichmag.ru/restorany-i-bary/ossu-na-sretenskom-bulvare-otkryta-dlya-lyubitelej-lapshi-i-begushhego-po-lezviyu/,"г Москва, б-р Сретенский, д 1 к 4",55.766997,37.632026
122,https://moskvichmag.ru/restorany-i-bary/park-pretenduet-na-zvanie-prakticheski-zagorodnogo-restorana-i-idealen-dlya-banketa/,"г Москва, ул Мантулинская, д 5 стр 8",55.7560466,37.5537042
123,https://moskvichmag.ru/restorany-i-bary/bar-vinfak-na-kitaj-gorode-pravilnyj-potrepannyj-dizajn-i-idealnaya-kuritsa-gril/,"г Москва, пер Большой Трёхсвятительский, д 2/1 стр 6",55.7549379,37.645502
124,https://moskvichmag.ru/restorany-i-bary/v-qlo-na-tverskoj-kachestvennyj-comfort-food-i-nastroenie-kak-v-filmah-pro-nyu-jork-1950-h/,"г Москва, ул Тверская, д 27 стр 2",55.768684,37.5975945
125,https://moskvichmag.ru/restorany-i-bary/v-so-far-kebab-zavorachivayut-kuritsu-govyadinu-i-falafel-v-indijskie-lepeshki-roti/,"г Москва, ул Мясницкая, д 13 стр 2",55.7622293,37.6338225
126,https://moskvichmag.ru/restorany-i-bary/v-the-greeks-na-neglinnoj-berite-sup-avgolemono-dolmu-s-krabom-da-i-pozhaluj-vse-ostalnoe/,"г Москва, ул Неглинная, д 15",55.7630847,37.6197566
127,https://moskvichmag.ru/restorany-i-bary/v-rajone-shabolovki-teper-mozhno-zavtrakat-pechenymi-yajtsami-po-meksikanski-v-gline/,"г Москва, ул Хавская, д 24",55.7137154,37.6128788
128,https://moskvichmag.ru/restorany-i-bary/gepardy-na-potolke-i-oburzhuazivshayasya-mimoza-le-pigeon-na-tsvetnom-pochti-idealen/,"г Москва, б-р Цветной, д 2",55.7679448,37.6234744
129,https://moskvichmag.ru/restorany-i-bary/esli-vam-nuzhno-spustit-vse-dengi-na-kurinye-lapki-i-morskie-delikatesy-b12-podhodit/,"г Москва, ул Большая Никитская, д 12",55.7564328,37.6064016
130,https://moskvichmag.ru/restorany-i-bary/kogda-klassika-luchshe-horosha-li-sha-na-patriarshih/,"г Москва, пер Малый Палашёвский, д 2/8",55.764761,37.6016488
131,https://moskvichmag.ru/restorany-i-bary/otlichitelnaya-osobennost-zanovo-otkryvshegosya-pasta-i-basta-starorezhimnyj-italyanskij-shik/,"г Москва, б-р Сретенский, д 4/1",55.7661102,37.6321969
132,https://moskvichmag.ru/restorany-i-bary/tartaletki-i-denishi-iz-jules-zang-podhodyat-dlya-chaepitiya-hot-s-garri-potterom-hot-s-alisoj/,"г Москва, пер Наставнический, д 3",55.7519571,37.6639912
133,https://moskvichmag.ru/restorany-i-bary/flaner-rasshiril-geografiyu-na-zimu-za-schet-marokko-i-balkan/,"г Москва, пер Кривоколенный, д 7",55.7622211,37.6358888
134,https://moskvichmag.ru/restorany-i-bary/kook-na-petrovskom-bulvare-pelmeni-mandu-pirozhnoe-medved-i-dolgoe-ih-ozhidanie/,"г Москва, б-р Петровский, д 15 стр 1",55.7681977,37.6158936
135,https://moskvichmag.ru/restorany-i-bary/v-trenta-pizza-na-sretenke-gotovyat-v-drovyanoj-pechi-klassiku-po-umerennym-tsenam/,"г Москва, ул Сретенка, д 24/2",55.7697797,37.632611
136,https://moskvichmag.ru/restorany-i-bary/v-pastrami-bare-smoke-is-koptyat-vse-podryad-tseny-nizkie-portsii-bolshie-narodu-polno/,"г Москва, ул 3-я Ямского Поля, д 2 к 5",55.7833507,37.5819609
137,https://moskvichmag.ru/restorany-i-bary/italyanskij-rocky-2-otlichaet-ot-pervogo-vmeshatelstvo-azii/,"г Москва, ул Дмитровка Б., д 10 стр 4",55.7612538,37.6149716
140,https://moskvichmag.ru/restorany-i-bary/pity-kreplah-i-kosheri-bshushu-zhongliruet-ingredientami-izrailskoj-kuhni/,"г Москва, ул 3-я Ямского Поля, д 2 к 3",55.7817554,37.582052
141,https://moskvichmag.ru/restorany-i-bary/plyusy-lilyhammer-na-lubyanke-shot-karlson-i-koktejl-kizil-minus-pelmeni-s-maralom/,"г Москва, ул Профсоюзная, д 16",55.68427,37.568938
